checked_at,target_url,keyword,rank,matched_url,provider
2026-09-19T23:40:45,https://ponte-nene.jp/,越谷　整体,,,serper-auto
2026-09-19T23:40:45,https://ponte-nene.net/,越谷　おすすめ,,,serper-auto
2026-09-19T23:40:45,https://ponte-nene.jp/,越谷　整骨院,,,serper-auto
2026-09-19T23:40:45,https://ponte-nene.jp/,越谷　交通事故治療,,,serper-auto
2026-09-19T23:40:45,https://ponte-nene.jp/,越谷　訪問マッサージ,3.0,https://ponte-nene.jp/feature/visit-massage/,serper-auto
2026-09-19T23:40:45,https://ponte-nene.jp/,せんげん台　整体,4.0,https://ponte-nene.jp/,serper-auto
2026-09-19T23:40:45,https://ponte-nene.jp/,せんげん台　整骨院,6.0,https://ponte-nene.jp/,serper-auto
2026-09-19T23:40:45,https://ponte-nene.jp/,せんげん台　交通事故治療,9.0,https://ponte-nene.jp/column/category/%E4%BA%A4%E9%80%9A%E4%BA%8B%E6%95%85%E6%B2%BB%E7%99%82/15/,serper-auto
2026-09-19T23:40:45,https://ponte-nene.jp/,せんげん台　訪問マッサージ,1.0,https://ponte-nene.jp/feature/visit-massage/,serper-auto
2026-09-19T23:40:45,https://ponte-aroma.jp/,せんげん台　オイルマッサージ,3.0,https://ponte-aroma.jp/,serper-auto
2026-09-19T23:40:45,https://ponte-aroma.jp/,越谷　エステ,,,serper-auto
2026-09-19T23:40:45,https://ponte-aroma.jp/,越谷　フェイシャル,,,serper-auto
2026-09-19T23:40:45,https://ponte-aroma.jp/,越谷　オイルマッサージ,7.0,https://ponte-aroma.jp/,serper-auto
2026-09-19T23:40:45,https://ponte-aroma.jp/,せんげん台　マッサージ,4.0,https://ponte-aroma.jp/,serper-auto
2026-09-19T23:40:45,https://ponte-aroma.jp/,せんげん台　エステ,,,serper-auto
2026-09-19T23:40:45,https://ponte-aroma.jp/,せんげん台　フェイシャル,9.0,https://ponte-aroma.jp/blog/detail/20211019161356/,serper-auto
2026-09-19T23:40:45,https://ponte-aroma.jp/,越谷　マッサージ,,,serper-auto
2026-09-20T09:33:53,gbp:5558918595392795634,越谷　交通事故治療,,,serper-places-auto
2026-09-20T09:33:53,gbp:5558918595392795634,越谷　訪問マッサージ,,,serper-places-auto
